Description,Winning Probability,Reasoning,Relevant Laws
My vehicle was damaged by a delivery truck while it was backing up.,Plaintiff Win: 75%,Drivers must check for pedestrians when backing up.,Section 34 - Yield when reversing.
I hit a parked car while looking at my GPS.,Defendant Win: 90%,Distracted driving is considered negligent.,Section 36 - Drive attentively.
My car was hit while I was parked at a grocery store.,Plaintiff Win: 70%,Drivers must respect parking regulations.,Section 57 - No parking violations.
I was involved in a collision while driving with my headlights off at night.,Defendant Win: 85%,It is illegal to drive without headlights in low visibility.,Section 11 - Lighting regulations.
I was struck while crossing at a crosswalk without waiting for the signal.,Defendant Win: 80%,Pedestrians must obey traffic signals.,Section 105 - No jaywalking.
My vehicle was damaged while parked in a no-stopping zone.,Defendant Win: 90%,Stopping in no-stopping zones is illegal.,Section 57 - No stopping violations.
I was hit while riding a motorcycle without a helmet.,Defendant Win: 75%,Wearing a helmet while riding is mandatory.,Section 43 - Helmet regulations.
I collided with a vehicle exiting a parking lot.,Defendant Win: 80%,Drivers must yield when exiting parking lots.,Section 34 - Yield when exiting.
I was hit while walking my dog on a leash.,Plaintiff Win: 85%,Drivers must exercise caution around pedestrians and animals.,Section 21 - Yield to pedestrians.
My car was damaged while parked in a designated motorcycle area.,Defendant Win: 80%,Parking regulations must be observed.,Section 57 - No parking violations.
I was involved in an accident while driving without my seatbelt.,Defendant Win: 90%,Wearing a seatbelt is mandatory.,Section 43 - Seatbelt regulations.
My vehicle was hit while parked on a busy street.,Plaintiff Win: 75%,Drivers must respect parking regulations.,Section 57 - No parking violations.
I was struck by a car while waiting at a bus stop.,Plaintiff Win: 80%,Drivers must exercise caution near bus stops.,Section 21 - Yield to pedestrians.
My car was damaged while parked in a residential driveway.,Plaintiff Win: 70%,Legal parking must be respected.,Section 57 - No parking violations.
I was hit while riding a bicycle on the wrong side of the road.,Defendant Win: 85%,Bicycles must follow the same traffic rules as vehicles.,Section 80 - Bicycles must comply with road rules.
I was involved in an accident while driving in a construction zone without caution.,Defendant Win: 90%,Drivers must be extra cautious in construction zones.,Section 75 - Obey construction zone signs.
I was rear-ended while slowing down for a school bus.,Plaintiff Win: 90%,Drivers must stop for school buses with flashing lights.,Section 25 - School bus regulations.
I was hit while walking my dog on a leash in a park.,Plaintiff Win: 80%,Drivers must be cautious in areas with pedestrians and animals.,Section 21 - Yield to pedestrians.
My car was damaged by a hit-and-run driver in a parking lot.,Plaintiff Win: 75%,Drivers are required to stop and exchange information after an accident.,Section 45 - Hit and run laws.
I collided with another vehicle while attempting to change lanes in heavy traffic.,Defendant Win: 85%,Changing lanes in heavy traffic requires caution and signaling.,Section 36 - Lane change regulations.
I was struck by a vehicle while crossing the street during a green light.,Plaintiff Win: 85%,Drivers must yield to pedestrians crossing with a green light.,Section 21 - Yield to pedestrians.
My vehicle was damaged while parked in a no-parking zone during a street fair.,Defendant Win: 90%,Parking regulations must be observed during events.,Section 57 - No parking violations.
I was hit while riding my bicycle on the sidewalk.,Defendant Win: 80%,Bicycles are not allowed on sidewalks in many areas.,Section 80 - Bicycle regulations.
I was involved in an accident while driving with my headlights off at dusk.,Defendant Win: 85%,It is illegal to drive without headlights in low visibility.,Section 11 - Lighting regulations.
My car was hit while parked in a designated carpool space without a permit.,Defendant Win: 90%,Parking in designated carpool spaces without a permit is illegal.,Section 57 - Carpool regulations.
I was struck by a car while trying to cross the road at a red light.,Defendant Win: 90%,Pedestrians must obey traffic signals.,Section 105 - No jaywalking.
I collided with a vehicle that was backing out of a driveway.,Defendant Win: 75%,Drivers must yield when backing out of a driveway.,Section 34 - Yield when reversing.
My vehicle was damaged while parked in front of a fire hydrant.,Defendant Win: 95%,Parking in front of a fire hydrant is illegal.,Section 57 - Fire hydrant regulations.
I was involved in an accident while driving without a valid insurance policy.,Defendant Win: 90%,Driving without insurance is illegal.,Section 10 - Insurance regulations.
I was struck by a vehicle while waiting at a bus stop.,Plaintiff Win: 80%,Drivers must exercise caution near bus stops.,Section 21 - Yield to pedestrians.
My vehicle was damaged while parked in a residential area without a permit.,Defendant Win: 85%,Parking regulations must be observed in residential areas.,Section 57 - No parking violations.
I was hit while riding a scooter on the road.,Plaintiff Win: 75%,"Drivers must yield to all road users, including scooters.",Section 80 - Compliance with road rules.
I collided with another vehicle while trying to make a left turn.,Defendant Win: 80%,Drivers must yield to oncoming traffic when turning left.,Section 71 - Yield when turning left.
My car was damaged while parked in a taxi stand.,Plaintiff Win: 70%,Parking regulations must be respected in taxi stands.,Section 57 - Taxi stand regulations.
I was struck by a car while walking in a crosswalk during a parade.,Plaintiff Win: 80%,Drivers must exercise caution during public events.,Section 21 - Yield to pedestrians.
I was involved in an accident while texting and driving.,Defendant Win: 100%,Texting while driving is illegal and considered negligent.,Section 36 - Distracted driving laws.
My vehicle was damaged while parked in a no-stopping zone.,Defendant Win: 90%,Stopping in no-stopping zones is illegal.,Section 57 - No stopping violations.
I was hit while crossing the street while wearing dark clothing at night.,Defendant Win: 85%,Pedestrians must wear visible clothing at night.,Section 108 - Visibility for pedestrians.
I collided with a vehicle that was driving too close to my bicycle.,Plaintiff Win: 75%,Drivers must maintain a safe distance from cyclists.,Section 34 - Drive safely near cyclists.
My car was hit while parked on the street during a festival.,Plaintiff Win: 70%,Drivers must respect parking regulations during events.,Section 57 - No parking violations.
I was involved in an accident while driving on the wrong side of the road.,Defendant Win: 95%,Driving on the wrong side is illegal.,Section 34 - Obey traffic regulations.
I was struck while riding my bicycle without a helmet.,Defendant Win: 80%,Wearing a helmet while cycling is mandatory.,Section 43 - Helmet regulations.
My vehicle was damaged while parked in a loading zone.,Defendant Win: 75%,Loading zones must be respected by all vehicles.,Section 57 - No parking in loading zones.
I was hit while crossing the street during a red light.,Defendant Win: 90%,Pedestrians must obey traffic signals.,Section 105 - No jaywalking.
I collided with a vehicle while merging onto a freeway without signaling.,Defendant Win: 85%,Failing to signal is considered reckless driving.,Section 36 - Must signal when merging.
My car was damaged while parked in a designated disabled parking space without a permit.,Defendant Win: 90%,Parking in disabled spaces without a permit is illegal.,Section 57 - Disabled parking regulations.
I was struck while walking in a crosswalk without looking both ways.,Defendant Win: 80%,Pedestrians must exercise caution when crossing.,Section 105 - No jaywalking.
I was involved in an accident while driving without my glasses.,Defendant Win: 95%,Driving without corrective lenses when required is illegal.,Section 11 - Vision requirements for drivers.
My vehicle was damaged in a hit-and-run incident.,Plaintiff Win: 75%,Hit-and-run drivers can be held liable for damages.,Section 45 - Hit and run laws.
I was rear-ended by a driver who was texting.,Plaintiff Win: 95%,Texting while driving is considered negligent.,Section 36 - Distracted driving laws.
I was hit while walking my dog on a leash in a neighborhood.,Plaintiff Win: 80%,Drivers must exercise caution around pedestrians and animals.,Section 21 - Yield to pedestrians.
My car was damaged while parked in a metered parking space without paying.,Defendant Win: 90%,Parking regulations apply to metered spaces.,Section 57 - Metered parking regulations.
